backend,subset,sample_idx,score,compression_ratio,seconds,input_tokens,prediction
block_tq_mix,narrativeqa,2,0.000000,4.819734345351043,478.0647,8192,
block_tq_mix,narrativeqa,3,0.000000,4.819734345351043,474.9512,8192,
block_tq_mix,narrativeqa,4,0.000000,4.819734345351043,470.0913,8192,
block_tq_mix,narrativeqa,5,0.000000,4.819734345351043,452.8765,8192,
block_tq_mix,narrativeqa,6,0.000000,4.819734345351043,453.6164,8192,
block_tq_mix,narrativeqa,7,0.000000,4.819734345351043,451.5725,8192,
block_tq_mix,narrativeqa,8,0.000000,4.819734345351043,453.9215,8192,
block_tq_mix,narrativeqa,9,0.000000,4.819734345351043,460.0777,8192,
block_tq_mix,narrativeqa,10,0.000000,4.819734345351043,450.0155,8192,
block_tq_mix,narrativeqa,11,0.000000,4.819734345351043,451.4436,8192,
block_tq_mix,narrativeqa,12,0.000000,4.819734345351043,451.4261,8192,
block_tq_mix,narrativeqa,13,0.000000,4.819734345351043,452.4732,8192,
block_tq_mix,narrativeqa,14,0.000000,4.819734345351043,452.8223,8192,
block_tq_mix,narrativeqa,15,0.000000,4.819734345351043,451.2223,8192,
block_tq_mix,qasper,16,0.064516,4.555009451795841,251.9759,4455,"the content of the content of the content of the content of fake content of fake content of fake content of fake content of fake content of fake content of news.
In conclusion of fake news.
Label of news.
Label of news.
Label of news.
Label of the content of the content of the"
block_tq_mix,qasper,17,0.352941,4.435121366496854,207.8095,3637,GhostVLAD is an extension of the NetVLAD approach proposed by Y. Zhang et al. in [10]. The main difference between NetVLAD and GhostVLAD is that GhostVLAD uses the ghost clusters instead of the NetVLAD clusters for the language identification
block_tq_mix,qasper,18,0.000000,4.58933582787652,270.2537,4843,"spe
spe
spe


 sierp




 sierp nobody nobody"
block_tq_mix,qasper,19,0.115385,4.398907981371447,193.3702,3361,"We propose the use of context tweets to improve the accuracy of abusive language detection.
Question: What is the significance of character-level representations?
Answer: Character-level representations do not improve the accuracy of neural network models.
Question: What is the significance of using ensemble models?
Answer:"
block_tq_mix,qasper,20,0.000000,4.583978730782569,274.2372,4894,"4.
.
.
.












response


contens"
block_tq_mix,qasper,21,0.000000,4.7330115113256594,347.0628,6310,
block_tq_mix,qasper,22,0.000000,4.711160964666293,346.0240,6237,
block_tq_mix,qasper,23,0.000000,4.775300171526586,399.0058,7245,
block_tq_mix,qasper,24,0.031250,4.446464072706617,220.0057,3851,"The proposed approach is different from other WSD approaches in that it uses a KL divergence measure to capture word similarity instead of a cosine similarity measure. This allows the model to capture polysemy and other linguistic phenomena that are not captured by cosine similarity.

In conclusion, the proposed approach"
block_tq_mix,qasper,25,0.000000,4.694294294294294,321.2888,5799,"as
as.
as as
as.in as as as as as as as"
block_tq_mix,qasper,26,0.000000,4.616892739085832,280.5126,5000,"push




















sh Begriffe Begriffe Begriffe Begriffe"
block_tq_mix,qasper,27,0.041667,4.4235727440147325,200.9044,3540,"The paper focuses on English.

Question: What is the main goal of the paper?
Answer: The main goal of the paper is to propose a method for text simplification using simplified corpora.

Question: What is the difference between the proposed method and other methods?
Answer: The proposed"
block_tq_mix,qasper,28,0.120000,4.402401522916972,212.1755,3695,"The sentiment analysis dataset used is the IMDb dataset.

Question: What is the optimal combination of hyperparameters for word2vec?
Answer: The optimal combination of hyperparameters for word2vec is determined by the authors' experiments.

Question: How does the size of the corpus affect the performance of"
block_tq_mix,qasper,29,0.000000,4.819734345351043,452.4198,8192,
block_tq_mix,qasper,30,0.000000,4.654733664006901,297.0890,5333,"3

3 in the see, see, can 
1 
12121212121212121 and the and1 and1 and3 and3 and900 the 1-see the0002000"
block_tq_mix,qasper,31,0.000000,4.819734345351043,451.3324,8192,
block_tq_mix,multifieldqa_en,32,0.170213,3.830651151275068,23.6667,1871,"The most active fan club is the South West Ulartu Fan Club, which is composed of residents of the Malatia-Sebastia District of Yerevan.

In addition to the club's stadium, the club has a training center located in the Malatia-Sebastia"
block_tq_mix,multifieldqa_en,33,0.000000,4.819734345351043,449.6549,8192,
block_tq_mix,multifieldqa_en,34,0.000000,4.819734345351043,450.4045,8192,
block_tq_mix,multifieldqa_en,35,0.000000,4.819734345351043,448.6821,8192,
block_tq_mix,multifieldqa_en,36,0.000000,4.819734345351043,453.2417,8192,
block_tq_mix,multifieldqa_en,37,0.000000,4.819734345351043,454.0640,8192,
block_tq_mix,multifieldqa_en,38,0.000000,4.819734345351043,452.8307,8192,
block_tq_mix,multifieldqa_en,39,0.083333,4.3963636363636365,202.8031,3564,"Hugh H. Goodwin was a Vice Admiral in the United States Navy.

Question: What was the name of the ship that Goodwin commanded during World War II?
Answer: Goodwin commanded the USS Gambier Bay during World War II.

Question: What was the name of the naval"
block_tq_mix,multifieldqa_en,40,0.538462,4.112449799196787,57.3226,2284,The Buckeyes lost their first game of the season by a score of 3–4.
block_tq_mix,multifieldqa_en,41,0.000000,4.819734345351043,450.8861,8192,
block_tq_mix,multifieldqa_en,42,0.000000,4.819734345351043,450.6808,8192,
